Typ zgłoszenia,Klucz zgłoszenia,Id. zgłoszenia,Podsumowanie,Osoba przypisana,ID osoby przypisanej,Osoba zgłaszająca,ID osoby zgłaszającej,Priorytet,Status,Rozwiązanie,Utworzono,Zaktualizowano,Termin
Story,MA-535,11440,Feature Wishlist & Voting System,Flutterowo,5f311c73d0884f00495441b2,Flutterowo,5f311c73d0884f00495441b2,Medium,Do zrobienia,,23/lis/25 9:15 PM,23/lis/25 9:17 PM,
Podzadanie,MA-534,11439,Add WebSockets to backend,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Flutterowo,5f311c73d0884f00495441b2,Medium,W toku,,23/lis/25 9:09 PM,23/lis/25 9:09 PM,
Podzadanie,MA-533,11437,TC-29 API Error Handling,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 8:01 PM,
Podzadanie,MA-532,11436,TC-28 API Healthcheck,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,High,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 8:01 PM,
Podzadanie,MA-531,11435,TC-27 HTTPS Enforcement,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,High,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 8:00 PM,
Podzadanie,MA-530,11434,TC-26 Filter Past Events,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 8:00 PM,
Podzadanie,MA-529,11433,TC-25 Event Clustering,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Low,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:59 PM,
Podzadanie,MA-528,11432,TC-24 Refresh Map after Action,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:57 PM,
Podzadanie,MA-527,11431,TC-23 Display Map Pins,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,High,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:57 PM,
Podzadanie,MA-526,11430,TC-22 Cancel Series,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:57 PM,
Podzadanie,MA-525,11429,TC-21 Edit Single Occurrence,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:57 PM,
Podzadanie,MA-524,11428,TC-20 Create Series,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:56 PM,
Podzadanie,MA-523,11427,TC-19 Race Condition Handling,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,High,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:56 PM,
Podzadanie,MA-522,11426,TC-18 Leave Waitlist,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,Medium,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:56 PM,
Podzadanie,MA-521,11425,TC-17 Waitlist Renumbering,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,High,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:55 PM,
Podzadanie,MA-520,11424,TC-16 Auto-Promotion (Happy Path),Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,High,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:50 PM,
Podzadanie,MA-519,11423,TC-15 FIFO Queueing,Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,High,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:49 PM,
Podzadanie,MA-518,11422,TC-14 Join Full Event (Waitlist Trigger),Flutterowo,5f311c73d0884f00495441b2,Patryk Dolata,557058:4b686285-5035-4c4e-aa9c-d77c978360af,High,Do zrobienia,,23/lis/25 7:32 PM,23/lis/25 7:49 PM,
